"osm_id","name","contents","direction","highway","lamp_mount","lamps","mapillary","material","maxspeed","maxspeed:advisory","power","source","source:maxspeed","support","survey:date","traffic_sign","geometry"
"6965433130",NA,NA,"90",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.4459998, 40.1688538)
"6965433131",NA,NA,"280",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3961768, 40.1673784)
"6965433132",NA,NA,"100",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3961525, 40.1675625)
"6965433133",NA,NA,"200",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3809554, 40.1687398)
"6965433134",NA,NA,"10",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3810102, 40.1693508)
"6965433135",NA,NA,"310",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3507645, 40.1779878)
"6965433136",NA,NA,"180",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3299907, 40.194123)
"6965433137",NA,NA,"0",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3301287, 40.1941076)
"6965433138",NA,NA,"45",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3202732, 40.2025915)
"6965433139",NA,NA,"60",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2945147, 40.2068409)
"6965433140",NA,NA,"210",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2753198, 40.2166985)
"6965433141",NA,NA,"230",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2725946, 40.2185894)
"6965433142",NA,NA,"190",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2716981, 40.2195569)
"6965433143",NA,NA,"270",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2711918, 40.2239716)
"6965433144",NA,NA,"270",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2695089, 40.2239815)
"6965433145",NA,NA,"270",NA,NA,NA,NA,NA,"25 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2695229, 40.2240975)
